Age;Gender;School_Grade;Daily_Usage_Hours;Sleep_Hours;Academic_Performance;Social_Interactions;Exercise_Hours;Anxiety_Level;Depression_Level;Self_Esteem;Parental_Control;Screen_Time_Before_Bed;Phone_Checks_Per_Day;Apps_Used_Daily;Time_on_Social_Media;Time_on_Gaming;Time_on_Education;Phone_Usage_Purpose;Family_Communication;Weekend_Usage_Hours;Addiction_Level
13~16;Female~Other;7~9;2~4;3~5;50~74;7~10;1~2;7~10;1~10;2~10;0~1;0~1;29~127;9~18;0~4;0~3;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~12;10.0
13~16;Female~Other;7~9;2~4;3~5;50~74;7~10;1~2;7~10;1~10;2~10;0~1;0~1;29~127;9~18;0~4;0~3;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~12;10.0
13~16;Female~Other;7~9;2~4;3~5;50~74;7~10;1~2;7~10;1~10;2~10;0~1;0~1;29~127;9~18;0~4;0~3;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~12;8.6
13~16;Female~Other;7~9;2~4;3~5;50~74;7~10;1~2;7~10;1~10;2~10;0~1;0~1;29~127;9~18;0~4;0~3;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~12;9.5
13~16;Female~Other;7~9;2~4;3~5;50~74;7~10;1~2;7~10;1~10;2~10;0~1;0~1;29~127;9~18;0~4;0~3;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~12;10.0
13~15;Female~Other;7~9;2~4;3~6;77~99;0~4;0~1;1~4;1~4;5~10;0~1;0~1;26~143;5~15;1~3;0~1;0~2;Education~Social Media~Gaming~Other;3~9;3~8;5.1
13~15;Female~Other;7~9;2~4;3~6;77~99;0~4;0~1;1~4;1~4;5~10;0~1;0~1;26~143;5~15;1~3;0~1;0~2;Education~Social Media~Gaming~Other;3~9;3~8;10.0
13~15;Female~Other;7~9;2~4;3~6;77~99;0~4;0~1;1~4;1~4;5~10;0~1;0~1;26~143;5~15;1~3;0~1;0~2;Education~Social Media~Gaming~Other;3~9;3~8;10.0
13~15;Female~Other;7~9;2~4;3~6;77~99;0~4;0~1;1~4;1~4;5~10;0~1;0~1;26~143;5~15;1~3;0~1;0~2;Education~Social Media~Gaming~Other;3~9;3~8;6.2
13~15;Female~Other;7~9;2~4;3~6;77~99;0~4;0~1;1~4;1~4;5~10;0~1;0~1;26~143;5~15;1~3;0~1;0~2;Education~Social Media~Gaming~Other;3~9;3~8;8.1
13~15;Female~Other;7~9;2~4;3~6;77~99;0~4;0~1;1~4;1~4;5~10;0~1;0~1;26~143;5~15;1~3;0~1;0~2;Education~Social Media~Gaming~Other;3~9;3~8;6.2
14~16;Female~Other;7~9;2~4;3~6;80~100;0~3;0~1;1~4;5~10;4~10;0~1;0~1;27~131;6~18;1~2;1~2;0~2;Education~Social Media~Gaming~Other;4~9;1~9;10.0
14~16;Female~Other;7~9;2~4;3~6;80~100;0~3;0~1;1~4;5~10;4~10;0~1;0~1;27~131;6~18;1~2;1~2;0~2;Education~Social Media~Gaming~Other;4~9;1~9;8.1
14~16;Female~Other;7~9;2~4;3~6;80~100;0~3;0~1;1~4;5~10;4~10;0~1;0~1;27~131;6~18;1~2;1~2;0~2;Education~Social Media~Gaming~Other;4~9;1~9;6.6
14~16;Female~Other;7~9;2~4;3~6;80~100;0~3;0~1;1~4;5~10;4~10;0~1;0~1;27~131;6~18;1~2;1~2;0~2;Education~Social Media~Gaming~Other;4~9;1~9;8.6
14~16;Female~Other;7~9;2~4;3~6;80~100;0~3;0~1;1~4;5~10;4~10;0~1;0~1;27~131;6~18;1~2;1~2;0~2;Education~Social Media~Gaming~Other;4~9;1~9;10.0
13~16;Female~Other;8~9;3~3;4~6;91~100;0~4;0~1;7~10;1~4;2~10;0~1;0~1;21~123;6~15;1~3;1~2;0~2;Browsing~Education~Social Media~Gaming~Other;5~9;2~7;6.1
13~16;Female~Other;8~9;3~3;4~6;91~100;0~4;0~1;7~10;1~4;2~10;0~1;0~1;21~123;6~15;1~3;1~2;0~2;Browsing~Education~Social Media~Gaming~Other;5~9;2~7;7.8
13~16;Female~Other;8~9;3~3;4~6;91~100;0~4;0~1;7~10;1~4;2~10;0~1;0~1;21~123;6~15;1~3;1~2;0~2;Browsing~Education~Social Media~Gaming~Other;5~9;2~7;10.0
13~16;Female~Other;8~9;3~3;4~6;91~100;0~4;0~1;7~10;1~4;2~10;0~1;0~1;21~123;6~15;1~3;1~2;0~2;Browsing~Education~Social Media~Gaming~Other;5~9;2~7;7.3
13~16;Female~Other;8~9;3~3;4~6;91~100;0~4;0~1;7~10;1~4;2~10;0~1;0~1;21~123;6~15;1~3;1~2;0~2;Browsing~Education~Social Media~Gaming~Other;5~9;2~7;10.0
13~16;Female~Other;8~9;3~3;4~6;91~100;0~4;0~1;7~10;1~4;2~10;0~1;0~1;21~123;6~15;1~3;1~2;0~2;Browsing~Education~Social Media~Gaming~Other;5~9;2~7;9.3
13~16;Female~Other;7~9;2~4;3~6;84~98;0~4;0~1;5~10;5~9;2~9;1;0~1;45~142;5~20;2~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;2~8;8.3
13~16;Female~Other;7~9;2~4;3~6;84~98;0~4;0~1;5~10;5~9;2~9;1;0~1;45~142;5~20;2~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;2~8;4.2
13~16;Female~Other;7~9;2~4;3~6;84~98;0~4;0~1;5~10;5~9;2~9;1;0~1;45~142;5~20;2~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;2~8;10.0
13~16;Female~Other;7~9;2~4;3~6;84~98;0~4;0~1;5~10;5~9;2~9;1;0~1;45~142;5~20;2~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;2~8;8.7
13~16;Female~Other;7~9;2~4;3~6;84~98;0~4;0~1;5~10;5~9;2~9;1;0~1;45~142;5~20;2~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;2~8;6.8
13~16;Female~Other;7~9;2~4;3~6;84~98;0~4;0~1;5~10;5~9;2~9;1;0~1;45~142;5~20;2~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;2~8;10.0
13~16;Female~Other;7~9;2~4;3~6;79~96;0~4;1~2;1~6;1~8;1~9;0~1;0~1;22~110;6~20;1~4;1~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;1~9;8.7
13~16;Female~Other;7~9;2~4;3~6;79~96;0~4;1~2;1~6;1~8;1~9;0~1;0~1;22~110;6~20;1~4;1~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;1~9;9.0
13~16;Female~Other;7~9;2~4;3~6;79~96;0~4;1~2;1~6;1~8;1~9;0~1;0~1;22~110;6~20;1~4;1~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;1~9;10.0
13~16;Female~Other;7~9;2~4;3~6;79~96;0~4;1~2;1~6;1~8;1~9;0~1;0~1;22~110;6~20;1~4;1~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;1~9;7.7
13~16;Female~Other;7~9;2~4;3~6;79~96;0~4;1~2;1~6;1~8;1~9;0~1;0~1;22~110;6~20;1~4;1~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;1~9;8.1
13~16;Female~Other;7~9;2~4;3~6;79~96;0~4;1~2;1~6;1~8;1~9;0~1;0~1;22~110;6~20;1~4;1~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;1~9;10.0
13~16;Female~Other;7~9;2~4;3~6;79~96;0~4;1~2;1~6;1~8;1~9;0~1;0~1;22~110;6~20;1~4;1~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;1~9;9.3
13~16;Female~Other;7~9;2~4;3~6;79~96;0~4;1~2;1~6;1~8;1~9;0~1;0~1;22~110;6~20;1~4;1~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;1~9;7.4
13~16;Female~Other;7~9;2~4;3~6;79~96;0~4;1~2;1~6;1~8;1~9;0~1;0~1;22~110;6~20;1~4;1~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~10;1~9;10.0
13~16;Female~Other;7~9;1~4;4~6;77~98;1~3;1~1;8~10;6~9;1~10;0~1;0~0;21~104;6~17;2~4;0~1;0~1;Social Media~Gaming~Other;4~8;3~8;6.4
13~16;Female~Other;7~9;1~4;4~6;77~98;1~3;1~1;8~10;6~9;1~10;0~1;0~0;21~104;6~17;2~4;0~1;0~1;Social Media~Gaming~Other;4~8;3~8;10.0
13~16;Female~Other;7~9;1~4;4~6;77~98;1~3;1~1;8~10;6~9;1~10;0~1;0~0;21~104;6~17;2~4;0~1;0~1;Social Media~Gaming~Other;4~8;3~8;3.2
13~16;Female~Other;7~9;1~4;4~6;77~98;1~3;1~1;8~10;6~9;1~10;0~1;0~0;21~104;6~17;2~4;0~1;0~1;Social Media~Gaming~Other;4~8;3~8;10.0
13~16;Female~Other;7~9;1~4;4~6;77~98;1~3;1~1;8~10;6~9;1~10;0~1;0~0;21~104;6~17;2~4;0~1;0~1;Social Media~Gaming~Other;4~8;3~8;10.0
13~16;Female~Other;7~9;3~4;5~6;82~97;0~4;1~3;7~10;1~9;4~9;0;0~1;43~119;9~14;1~2;0~2;0~2;Education~Social Media~Gaming;3~9;1~7;9.0
13~16;Female~Other;7~9;3~4;5~6;82~97;0~4;1~3;7~10;1~9;4~9;0;0~1;43~119;9~14;1~2;0~2;0~2;Education~Social Media~Gaming;3~9;1~7;10.0
13~16;Female~Other;7~9;3~4;5~6;82~97;0~4;1~3;7~10;1~9;4~9;0;0~1;43~119;9~14;1~2;0~2;0~2;Education~Social Media~Gaming;3~9;1~7;7.1
13~16;Female~Other;7~9;3~4;5~6;82~97;0~4;1~3;7~10;1~9;4~9;0;0~1;43~119;9~14;1~2;0~2;0~2;Education~Social Media~Gaming;3~9;1~7;7.9
13~16;Female~Other;7~9;3~4;5~6;82~97;0~4;1~3;7~10;1~9;4~9;0;0~1;43~119;9~14;1~2;0~2;0~2;Education~Social Media~Gaming;3~9;1~7;7.6
13~16;Female~Other;7~9;1~4;3~6;81~98;5~8;0~1;2~7;1~3;3~9;0~1;0~1;26~121;8~16;2~4;0~2;0~1;Education~Social Media~Gaming~Other;1~6;3~6;10.0
13~16;Female~Other;7~9;1~4;3~6;81~98;5~8;0~1;2~7;1~3;3~9;0~1;0~1;26~121;8~16;2~4;0~2;0~1;Education~Social Media~Gaming~Other;1~6;3~6;8.2
13~16;Female~Other;7~9;1~4;3~6;81~98;5~8;0~1;2~7;1~3;3~9;0~1;0~1;26~121;8~16;2~4;0~2;0~1;Education~Social Media~Gaming~Other;1~6;3~6;5.6
13~16;Female~Other;7~9;1~4;3~6;81~98;5~8;0~1;2~7;1~3;3~9;0~1;0~1;26~121;8~16;2~4;0~2;0~1;Education~Social Media~Gaming~Other;1~6;3~6;10.0
13~16;Female~Other;7~9;1~4;3~6;81~98;5~8;0~1;2~7;1~3;3~9;0~1;0~1;26~121;8~16;2~4;0~2;0~1;Education~Social Media~Gaming~Other;1~6;3~6;10.0
13~15;Female~Other;7~9;2~4;4~6;79~99;5~10;0~0;2~7;4~10;6~10;0~1;0~1;31~119;6~11;1~4;0~2;0~1;Browsing~Education~Social Media~Gaming;1~10;3~6;7.6
