Age;Gender;Education;Introversion Score;Sensing Score;Thinking Score;Judging Score;Interest;Personality
21~25;Male;0;2~4;2~3;1~5;4~6;Others~Sports~Arts;INFP
21~25;Male;0;2~4;2~3;1~5;4~6;Others~Sports~Arts;INFP
19~25;Male;0;0~2;4~5;1~4;4~6;Others~Sports~Arts;INFJ
19~25;Male;0;0~2;4~5;1~4;4~6;Others~Sports~Arts;INFP
19~25;Male;0;0~2;4~5;1~4;4~6;Others~Sports~Arts;INFJ
19~25;Male;0;0~2;4~5;1~4;4~6;Others~Sports~Arts;INFP
19~25;Male;0;0~2;4~5;1~4;4~6;Others~Sports~Arts;INFJ
19~25;Male;0;0~2;4~5;1~4;4~6;Others~Sports~Arts;INFP
21~24;Male;0;2~4;4~5;0~4;4~7;Others~Sports~Arts;INFP
21~24;Male;0;2~4;4~5;0~4;4~7;Others~Sports~Arts;ENFP
21~24;Male;0;2~4;4~5;0~4;4~7;Others~Sports~Arts;ENFJ
21~24;Male;0;2~4;4~5;0~4;4~7;Others~Sports~Arts;INFP
21~24;Male;0;2~4;4~5;0~4;4~7;Others~Sports~Arts;INFP
21~24;Male;0;2~4;4~5;0~4;4~7;Others~Sports~Arts;INFP
19~25;Male;0;0~2;3~4;5~9;1~3;Unknown~Technology~Others;INFP
19~25;Male;0;0~2;3~4;5~9;1~3;Unknown~Technology~Others;INFP
19~25;Male;0;0~2;3~4;5~9;1~3;Unknown~Technology~Others;INFP
19~25;Male;0;0~2;3~4;5~9;1~3;Unknown~Technology~Others;INTP
19~25;Male;0;0~2;3~4;5~9;1~3;Unknown~Technology~Others;INTP
19~24;Male;0;2~5;3~4;6~9;0~3;Unknown~Technology~Others;INTP
19~24;Male;0;2~5;3~4;6~9;0~3;Unknown~Technology~Others;ENTP
19~24;Male;0;2~5;3~4;6~9;0~3;Unknown~Technology~Others;ENTP
19~24;Male;0;2~5;3~4;6~9;0~3;Unknown~Technology~Others;INFP
19~24;Male;0;2~5;3~4;6~9;0~3;Unknown~Technology~Others;INTP
19~24;Male;0;2~5;3~4;6~9;0~3;Unknown~Technology~Others;INTP
22~25;Male;0;0~1;2~4;6~8;3~4;Unknown~Technology~Others;INTP
22~25;Male;0;0~1;2~4;6~8;3~4;Unknown~Technology~Others;INTP
22~25;Male;0;0~1;2~4;6~8;3~4;Unknown~Technology~Others;INTP
22~25;Male;0;0~1;2~4;6~8;3~4;Unknown~Technology~Others;INTP
22~25;Male;0;0~1;2~4;6~8;3~4;Unknown~Technology~Others;INTP
22~25;Male;0;0~1;2~4;6~8;3~4;Unknown~Technology~Others;INTP
21~25;Male;0;2~4;3~4;5~9;3~4;Unknown~Technology;INTP
21~25;Male;0;2~4;3~4;5~9;3~4;Unknown~Technology;INFP
21~25;Male;0;2~4;3~4;5~9;3~4;Unknown~Technology;INFP
21~25;Male;0;2~4;3~4;5~9;3~4;Unknown~Technology;INTP
21~25;Male;0;2~4;3~4;5~9;3~4;Unknown~Technology;INTP
21~25;Male;0;2~4;3~4;5~9;3~4;Unknown~Technology;INTP
21~25;Male;0;0~2;4~4;5~9;0~3;Unknown~Technology~Others;INTP
21~25;Male;0;0~2;4~4;5~9;0~3;Unknown~Technology~Others;INFP
21~25;Male;0;0~2;4~4;5~9;0~3;Unknown~Technology~Others;INTP
21~25;Male;0;0~2;4~4;5~9;0~3;Unknown~Technology~Others;INTP
21~25;Male;0;0~2;4~4;5~9;0~3;Unknown~Technology~Others;INFP
19~22;Male;0;3~4;4~5;6~9;2~2;Unknown~Technology~Others;INTP
19~22;Male;0;3~4;4~5;6~9;2~2;Unknown~Technology~Others;INTP
19~22;Male;0;3~4;4~5;6~9;2~2;Unknown~Technology~Others;ENTP
19~22;Male;0;3~4;4~5;6~9;2~2;Unknown~Technology~Others;INTP
19~22;Male;0;3~4;4~5;6~9;2~2;Unknown~Technology~Others;ENTP
19~22;Male;0;3~4;4~5;6~9;2~2;Unknown~Technology~Others;ENTP
19~24;Male;0;0~3;4~5;5~9;3~4;Unknown~Technology;INTP
19~24;Male;0;0~3;4~5;5~9;3~4;Unknown~Technology;INFP
19~24;Male;0;0~3;4~5;5~9;3~4;Unknown~Technology;INTP
19~24;Male;0;0~3;4~5;5~9;3~4;Unknown~Technology;INTP
19~24;Male;0;0~3;4~5;5~9;3~4;Unknown~Technology;INTP
19~24;Male;0;0~3;4~5;5~9;3~4;Unknown~Technology;INTP
19~25;Male;0;3~5;4~5;5~8;3~4;Unknown~Technology~Others;INTP
19~25;Male;0;3~5;4~5;5~8;3~4;Unknown~Technology~Others;ENTP
19~25;Male;0;3~5;4~5;5~8;3~4;Unknown~Technology~Others;ENFP
19~25;Male;0;3~5;4~5;5~8;3~4;Unknown~Technology~Others;INTP
19~25;Male;0;3~5;4~5;5~8;3~4;Unknown~Technology~Others;ENTP
19~25;Male;0;3~5;4~5;5~8;3~4;Unknown~Technology~Others;INTP
22~25;Male;0;0~4;1~4;5~9;2~3;Sports~Arts;INFP
22~25;Male;0;0~4;1~4;5~9;2~3;Sports~Arts;INTP
22~25;Male;0;0~4;1~4;5~9;2~3;Sports~Arts;INTP
22~25;Male;0;0~4;1~4;5~9;2~3;Sports~Arts;INTP
22~25;Male;0;0~4;1~4;5~9;2~3;Sports~Arts;INTP
18~24;Male;0;1~4;3~4;6~9;4~4;Arts;ENTP
18~24;Male;0;1~4;3~4;6~9;4~4;Arts;INTP
18~24;Male;0;1~4;3~4;6~9;4~4;Arts;INTP
18~24;Male;0;1~4;3~4;6~9;4~4;Arts;INTP
18~24;Male;0;1~4;3~4;6~9;4~4;Arts;ENTP
20~25;Male;0;1~3;4~5;5~9;2~3;Sports~Arts;INTP
20~25;Male;0;1~3;4~5;5~9;2~3;Sports~Arts;INTP
20~25;Male;0;1~3;4~5;5~9;2~3;Sports~Arts;INTP
20~25;Male;0;1~3;4~5;5~9;2~3;Sports~Arts;INTP
20~25;Male;0;1~3;4~5;5~9;2~3;Sports~Arts;ENFP
20~24;Male;0;1~4;4~4;5~7;3~4;Arts;INTP
20~24;Male;0;1~4;4~4;5~7;3~4;Arts;INTP
20~24;Male;0;1~4;4~4;5~7;3~4;Arts;INTP
20~24;Male;0;1~4;4~4;5~7;3~4;Arts;INFP
20~24;Male;0;1~4;4~4;5~7;3~4;Arts;INTP
20~24;Male;0;0~3;2~4;5~9;4~7;Unknown~Technology;INFJ
20~24;Male;0;0~3;2~4;5~9;4~7;Unknown~Technology;INTP
20~24;Male;0;0~3;2~4;5~9;4~7;Unknown~Technology;INFP
20~24;Male;0;0~3;2~4;5~9;4~7;Unknown~Technology;INTP
20~24;Male;0;0~3;2~4;5~9;4~7;Unknown~Technology;INFP
20~24;Male;0;0~3;2~4;5~9;4~7;Unknown~Technology;INTP
20~24;Male;0;0~3;2~4;5~9;4~7;Unknown~Technology;INFJ
20~24;Male;0;0~3;2~4;5~9;4~7;Unknown~Technology;INTP
21~25;Male;0;3~4;0~3;5~9;4~7;Unknown~Technology;INTJ
21~25;Male;0;3~4;0~3;5~9;4~7;Unknown~Technology;INTP
21~25;Male;0;3~4;0~3;5~9;4~7;Unknown~Technology;INTP
21~25;Male;0;3~4;0~3;5~9;4~7;Unknown~Technology;ENFP
21~25;Male;0;3~4;0~3;5~9;4~7;Unknown~Technology;INTJ
21~25;Male;0;3~4;0~3;5~9;4~7;Unknown~Technology;ENTP
21~25;Male;0;3~4;0~3;5~9;4~7;Unknown~Technology;INTJ
21~25;Male;0;3~4;0~3;5~9;4~7;Unknown~Technology;ENTP
21~25;Male;0;3~4;0~3;5~9;4~7;Unknown~Technology;INTJ
20~25;Male;0;0~2;4~4;5~9;5~6;Unknown~Technology;INTP
20~25;Male;0;0~2;4~4;5~9;5~6;Unknown~Technology;INTP
20~25;Male;0;0~2;4~4;5~9;5~6;Unknown~Technology;INTP
20~25;Male;0;0~2;4~4;5~9;5~6;Unknown~Technology;INFJ
20~25;Male;0;0~2;4~4;5~9;5~6;Unknown~Technology;INTJ
20~25;Male;0;0~2;4~4;5~9;5~6;Unknown~Technology;INTP
20~25;Male;0;0~2;4~4;5~9;5~6;Unknown~Technology;INTP
20~25;Male;0;0~2;4~4;5~9;5~6;Unknown~Technology;INTP
19~25;Male;0;3~4;4~5;5~8;4~7;Unknown~Technology;INTP
19~25;Male;0;3~4;4~5;5~8;4~7;Unknown~Technology;INFP
19~25;Male;0;3~4;4~5;5~8;4~7;Unknown~Technology;INFP
19~25;Male;0;3~4;4~5;5~8;4~7;Unknown~Technology;ENFP
19~25;Male;0;3~4;4~5;5~8;4~7;Unknown~Technology;INTP
19~25;Male;0;3~4;4~5;5~8;4~7;Unknown~Technology;INTP
19~25;Male;0;3~4;4~5;5~8;4~7;Unknown~Technology;INFJ
19~25;Male;0;3~4;4~5;5~8;4~7;Unknown~Technology;ENTP
19~25;Male;0;3~4;4~5;5~8;4~7;Unknown~Technology;INFP
20~25;Male;0;0~2;2~3;5~9;5~6;Others~Sports~Arts;INTJ
20~25;Male;0;0~2;2~3;5~9;5~6;Others~Sports~Arts;INTJ
20~25;Male;0;0~2;2~3;5~9;5~6;Others~Sports~Arts;INTJ
20~25;Male;0;0~2;2~3;5~9;5~6;Others~Sports~Arts;INFP
20~25;Male;0;0~2;2~3;5~9;5~6;Others~Sports~Arts;INTP
20~25;Male;0;0~2;2~3;5~9;5~6;Others~Sports~Arts;INTJ
20~25;Male;0;0~2;2~3;5~9;5~6;Others~Sports~Arts;INTJ
20~25;Male;0;0~2;2~3;5~9;5~6;Others~Sports~Arts;INTP
20~25;Male;0;3~4;2~4;5~9;4~6;Others~Sports;ENFP
20~25;Male;0;3~4;2~4;5~9;4~6;Others~Sports;INFJ
20~25;Male;0;3~4;2~4;5~9;4~6;Others~Sports;INTP
20~25;Male;0;3~4;2~4;5~9;4~6;Others~Sports;INTP
20~25;Male;0;3~4;2~4;5~9;4~6;Others~Sports;ENTP
20~25;Male;0;3~4;2~4;5~9;4~6;Others~Sports;INTJ
20~25;Male;0;3~4;2~4;5~9;4~6;Others~Sports;INTP
20~25;Male;0;3~4;2~4;5~9;4~6;Others~Sports;ENTJ
19~25;Male;0;0~2;4~4;5~8;5~6;Others~Sports~Arts;INFP
19~25;Male;0;0~2;4~4;5~8;5~6;Others~Sports~Arts;INTP
19~25;Male;0;0~2;4~4;5~8;5~6;Others~Sports~Arts;INTJ
19~25;Male;0;0~2;4~4;5~8;5~6;Others~Sports~Arts;INTJ
19~25;Male;0;0~2;4~4;5~8;5~6;Others~Sports~Arts;INTJ
19~25;Male;0;0~2;4~4;5~8;5~6;Others~Sports~Arts;INTP
19~25;Male;0;0~2;4~4;5~8;5~6;Others~Sports~Arts;INTP
19~25;Male;0;0~2;4~4;5~8;5~6;Others~Sports~Arts;INTP
20~25;Male;0;2~5;4~5;5~9;4~6;Others~Sports~Arts;INTP
20~25;Male;0;2~5;4~5;5~9;4~6;Others~Sports~Arts;INTP
20~25;Male;0;2~5;4~5;5~9;4~6;Others~Sports~Arts;ENTP
20~25;Male;0;2~5;4~5;5~9;4~6;Others~Sports~Arts;ENTJ
20~25;Male;0;2~5;4~5;5~9;4~6;Others~Sports~Arts;INTJ
20~25;Male;0;2~5;4~5;5~9;4~6;Others~Sports~Arts;ENFP
20~25;Male;0;2~5;4~5;5~9;4~6;Others~Sports~Arts;INFP
20~25;Male;0;2~5;4~5;5~9;4~6;Others~Sports~Arts;INTJ
20~25;Male;0;2~5;4~5;5~9;4~6;Others~Sports~Arts;INTP
20~25;Male;0;1~2;5~6;0~4;2~3;Unknown~Technology;INFP
20~25;Male;0;1~2;5~6;0~4;2~3;Unknown~Technology;INFP
20~25;Male;0;1~2;5~6;0~4;2~3;Unknown~Technology;INFP
20~25;Male;0;1~2;5~6;0~4;2~3;Unknown~Technology;INFP
20~25;Male;0;1~2;5~6;0~4;2~3;Unknown~Technology;INFP
20~25;Male;0;1~2;5~6;0~4;2~3;Unknown~Technology;INFP
20~25;Male;0;1~2;5~6;0~4;2~3;Unknown~Technology;INFP
20~25;Male;0;1~2;5~6;0~4;2~3;Unknown~Technology;INFP
18~25;Male;0;0~2;5~7;0~3;3~4;Unknown~Technology;ISFP
18~25;Male;0;0~2;5~7;0~3;3~4;Unknown~Technology;INFP
18~25;Male;0;0~2;5~7;0~3;3~4;Unknown~Technology;INFP
18~25;Male;0;0~2;5~7;0~3;3~4;Unknown~Technology;INFP
18~25;Male;0;0~2;5~7;0~3;3~4;Unknown~Technology;INFP
18~25;Male;0;0~2;5~7;0~3;3~4;Unknown~Technology;INFP
18~25;Male;0;0~2;5~7;0~3;3~4;Unknown~Technology;INFP
18~25;Male;0;0~2;5~7;0~3;3~4;Unknown~Technology;INFP
18~25;Male;0;0~2;5~7;0~3;3~4;Unknown~Technology;INFP
20~24;Male;0;2~4;5~8;1~4;0~3;Unknown~Technology;INFP
20~24;Male;0;2~4;5~8;1~4;0~3;Unknown~Technology;INFP
20~24;Male;0;2~4;5~8;1~4;0~3;Unknown~Technology;ESFP
20~24;Male;0;2~4;5~8;1~4;0~3;Unknown~Technology;INFP
20~24;Male;0;2~4;5~8;1~4;0~3;Unknown~Technology;INFP
20~24;Male;0;2~4;5~8;1~4;0~3;Unknown~Technology;INFP
20~24;Male;0;2~4;5~8;1~4;0~3;Unknown~Technology;INFP
20~24;Male;0;2~4;5~8;1~4;0~3;Unknown~Technology;INFP
21~25;Male;0;2~5;5~7;0~4;3~4;Unknown~Technology;INFP
21~25;Male;0;2~5;5~7;0~4;3~4;Unknown~Technology;INFP
21~25;Male;0;2~5;5~7;0~4;3~4;Unknown~Technology;INFP
21~25;Male;0;2~5;5~7;0~4;3~4;Unknown~Technology;INFP
21~25;Male;0;2~5;5~7;0~4;3~4;Unknown~Technology;INFP
21~25;Male;0;2~5;5~7;0~4;3~4;Unknown~Technology;INFP
21~25;Male;0;2~5;5~7;0~4;3~4;Unknown~Technology;ISFP
21~25;Male;0;2~5;5~7;0~4;3~4;Unknown~Technology;ENFP
21~25;Male;0;2~5;5~7;0~4;3~4;Unknown~Technology;INFP
20~25;Male;0;0~3;5~7;0~4;1~3;Others~Sports~Arts;INFP
20~25;Male;0;0~3;5~7;0~4;1~3;Others~Sports~Arts;INFP
20~25;Male;0;0~3;5~7;0~4;1~3;Others~Sports~Arts;INFP
20~25;Male;0;0~3;5~7;0~4;1~3;Others~Sports~Arts;INFP
20~25;Male;0;0~3;5~7;0~4;1~3;Others~Sports~Arts;ISFP
20~25;Male;0;0~3;5~7;0~4;1~3;Others~Sports~Arts;INFP
20~25;Male;0;0~3;5~7;0~4;1~3;Others~Sports~Arts;INFP
20~25;Male;0;0~3;5~7;0~4;1~3;Others~Sports~Arts;ISFP
19~25;Male;0;0~3;5~7;0~4;3~4;Others~Sports~Arts;ISFP
19~25;Male;0;0~3;5~7;0~4;3~4;Others~Sports~Arts;INFP
19~25;Male;0;0~3;5~7;0~4;3~4;Others~Sports~Arts;INFP
19~25;Male;0;0~3;5~7;0~4;3~4;Others~Sports~Arts;INFP
19~25;Male;0;0~3;5~7;0~4;3~4;Others~Sports~Arts;INFP
19~25;Male;0;0~3;5~7;0~4;3~4;Others~Sports~Arts;INFP
19~25;Male;0;0~3;5~7;0~4;3~4;Others~Sports~Arts;INFP
19~25;Male;0;0~3;5~7;0~4;3~4;Others~Sports~Arts;ISFP
19~25;Male;0;3~5;5~7;0~4;3~3;Others~Sports~Arts;INFP
19~25;Male;0;3~5;5~7;0~4;3~3;Others~Sports~Arts;INFP
19~25;Male;0;3~5;5~7;0~4;3~3;Others~Sports~Arts;ENFP
19~25;Male;0;3~5;5~7;0~4;3~3;Others~Sports~Arts;INFP
19~25;Male;0;3~5;5~7;0~4;3~3;Others~Sports~Arts;INFP
19~25;Male;0;3~5;5~7;0~4;3~3;Others~Sports~Arts;INFP
19~25;Male;0;3~5;5~7;0~4;3~3;Others~Sports~Arts;INFP
19~25;Male;0;3~5;5~7;0~4;3~3;Others~Sports~Arts;INFP
19~25;Male;0;3~4;5~7;1~4;3~4;Others~Sports~Arts;INFP
19~25;Male;0;3~4;5~7;1~4;3~4;Others~Sports~Arts;ENFP
19~25;Male;0;3~4;5~7;1~4;3~4;Others~Sports~Arts;ISFP
19~25;Male;0;3~4;5~7;1~4;3~4;Others~Sports~Arts;ENFP
19~25;Male;0;3~4;5~7;1~4;3~4;Others~Sports~Arts;ENFP
19~25;Male;0;3~4;5~7;1~4;3~4;Others~Sports~Arts;ENFP
19~25;Male;0;3~4;5~7;1~4;3~4;Others~Sports~Arts;ENFP
19~25;Male;0;3~4;5~7;1~4;3~4;Others~Sports~Arts;INFP
19~25;Male;0;0~2;5~7;0~2;4~5;Unknown~Technology;INFP
19~25;Male;0;0~2;5~7;0~2;4~5;Unknown~Technology;INFP
19~25;Male;0;0~2;5~7;0~2;4~5;Unknown~Technology;INFP
19~25;Male;0;0~2;5~7;0~2;4~5;Unknown~Technology;INFP
19~25;Male;0;0~2;5~7;0~2;4~5;Unknown~Technology;INFP
19~25;Male;0;0~2;5~7;0~2;4~5;Unknown~Technology;INFP
19~25;Male;0;0~2;5~7;0~2;4~5;Unknown~Technology;INFP
19~25;Male;0;0~2;5~7;0~2;4~5;Unknown~Technology;INFP
20~25;Male;0;0~2;5~6;2~4;4~6;Unknown~Technology;INFJ
20~25;Male;0;0~2;5~6;2~4;4~6;Unknown~Technology;INFP
20~25;Male;0;0~2;5~6;2~4;4~6;Unknown~Technology;INFP
20~25;Male;0;0~2;5~6;2~4;4~6;Unknown~Technology;INFP
20~25;Male;0;0~2;5~6;2~4;4~6;Unknown~Technology;INFJ
20~25;Male;0;0~2;5~6;2~4;4~6;Unknown~Technology;INFP
20~25;Male;0;0~2;5~6;2~4;4~6;Unknown~Technology;INFP
20~25;Male;0;0~2;5~6;2~4;4~6;Unknown~Technology;INFP
18~25;Male;0;2~4;5~7;0~1;4~6;Unknown~Technology;INFP
18~25;Male;0;2~4;5~7;0~1;4~6;Unknown~Technology;INFP
18~25;Male;0;2~4;5~7;0~1;4~6;Unknown~Technology;INFP
18~25;Male;0;2~4;5~7;0~1;4~6;Unknown~Technology;INFJ
18~25;Male;0;2~4;5~7;0~1;4~6;Unknown~Technology;ENFP
18~25;Male;0;2~4;5~7;0~1;4~6;Unknown~Technology;INFP
18~25;Male;0;2~4;5~7;0~1;4~6;Unknown~Technology;INFJ
18~25;Male;0;2~4;5~7;0~1;4~6;Unknown~Technology;ISFP
19~25;Male;0;3~5;5~6;2~4;4~6;Unknown~Technology;INFP
19~25;Male;0;3~5;5~6;2~4;4~6;Unknown~Technology;INFP
19~25;Male;0;3~5;5~6;2~4;4~6;Unknown~Technology;INFP
19~25;Male;0;3~5;5~6;2~4;4~6;Unknown~Technology;ISFP
