Age;Gender;Degree;Branch;CGPA;Internships;Projects;Coding_Skills;Communication_Skills;Aptitude_Test_Score;Soft_Skills_Rating;Certifications;Backlogs;Placement_Status
18~19;Female;B.Tech~BCA;Civil;6~6;0;2~3;2~4;3~5;35~57;3~5;0~1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;2~4;4~5;44~59;4~5;1;1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;2~4;4~5;44~59;4~5;1;1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;2~4;4~5;44~59;4~5;1;1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;2~4;4~5;44~59;4~5;1;1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;2~4;4~5;44~59;4~5;1;1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;6~6;0;3;3~4;3~5;38~55;4~5;1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;6~6;0;3;3~4;3~5;38~55;4~5;1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;6~6;0;3;3~4;3~5;38~55;4~5;1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;6~6;0;3;3~4;3~5;38~55;4~5;1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;6~6;0;3;3~4;3~5;38~55;4~5;1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;6~6;0;3;3~4;3~5;38~55;4~5;1;0~1;Not Placed
21;Female;B.Tech~BCA;Civil;4~6;0;2~3;1~4;4~5;42~59;3~5;0~1;0~1;Not Placed
21;Female;B.Tech~BCA;Civil;4~6;0;2~3;1~4;4~5;42~59;3~5;0~1;0~1;Not Placed
21;Female;B.Tech~BCA;Civil;4~6;0;2~3;1~4;4~5;42~59;3~5;0~1;0~1;Not Placed
21;Female;B.Tech~BCA;Civil;4~6;0;2~3;1~4;4~5;42~59;3~5;0~1;0~1;Not Placed
21;Female;B.Tech~BCA;Civil;4~6;0;2~3;1~4;4~5;42~59;3~5;0~1;0~1;Not Placed
21;Female;B.Tech~BCA;Civil;4~6;0;2~3;1~4;4~5;42~59;3~5;0~1;0~1;Not Placed
21;Female;B.Tech~BCA;Civil;4~6;0;2~3;1~4;4~5;42~59;3~5;0~1;0~1;Not Placed
21;Female;B.Tech~BCA;Civil;4~6;0;2~3;1~4;4~5;42~59;3~5;0~1;0~1;Not Placed
18~20;Female;B.Tech~BCA;ECE~ME;4~5;0;2;2~4;3~5;38~55;6;0~1;1;Not Placed
18~20;Female;B.Tech~BCA;ECE~ME;4~5;0;2;2~4;3~5;38~55;6;0~1;1;Not Placed
18~20;Female;B.Tech~BCA;ECE~ME;4~5;0;2;2~4;3~5;38~55;6;0~1;1;Not Placed
18~20;Female;B.Tech~BCA;ECE~ME;4~5;0;2;2~4;3~5;38~55;6;0~1;1;Not Placed
18~20;Female;B.Tech~BCA;ECE~ME;4~5;0;2;2~4;3~5;38~55;6;0~1;1;Not Placed
18~20;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;3~4;3~5;44~59;6;1;0~1;Not Placed
18~20;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;3~4;3~5;44~59;6;1;0~1;Not Placed
18~20;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;3~4;3~5;44~59;6;1;0~1;Not Placed
18~20;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;3~4;3~5;44~59;6;1;0~1;Not Placed
18~20;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;3~4;3~5;44~59;6;1;0~1;Not Placed
18~20;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;3~4;3~5;44~59;6;1;0~1;Not Placed
18~20;Female;B.Tech~BCA;Civil;5~6;0;3;3~4;3~5;38~53;6;1;0~1;Not Placed
18~20;Female;B.Tech~BCA;Civil;5~6;0;3;3~4;3~5;38~53;6;1;0~1;Not Placed
18~20;Female;B.Tech~BCA;Civil;5~6;0;3;3~4;3~5;38~53;6;1;0~1;Not Placed
18~20;Female;B.Tech~BCA;Civil;5~6;0;3;3~4;3~5;38~53;6;1;0~1;Not Placed
18~20;Female;B.Tech~BCA;Civil;5~6;0;3;3~4;3~5;38~53;6;1;0~1;Not Placed
18~20;Female;B.Tech~BCA;Civil;5~6;0;3;3~4;3~5;38~53;6;1;0~1;Not Placed
21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;2~3;3~4;3~5;43~52;6;1;0~1;Not Placed
21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;2~3;3~4;3~5;43~52;6;1;0~1;Not Placed
21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;2~3;3~4;3~5;43~52;6;1;0~1;Not Placed
21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;2~3;3~4;3~5;43~52;6;1;0~1;Not Placed
21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;2~3;3~4;3~5;43~52;6;1;0~1;Not Placed
21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;2~3;3~4;3~5;43~52;6;1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ECE;4~6;0;2~3;1~4;6;41~56;3~5;0~1;1;Not Placed
18~19;Female;B.Tech~BCA;ECE;4~6;0;2~3;1~4;6;41~56;3~5;0~1;1;Not Placed
18~19;Female;B.Tech~BCA;ECE;4~6;0;2~3;1~4;6;41~56;3~5;0~1;1;Not Placed
18~19;Female;B.Tech~BCA;ECE;4~6;0;2~3;1~4;6;41~56;3~5;0~1;1;Not Placed
18~19;Female;B.Tech~BCA;ECE;4~6;0;2~3;1~4;6;41~56;3~5;0~1;1;Not Placed
18~19;Female;B.Tech~BCA;ECE;4~6;0;2~3;1~4;6;41~56;3~5;0~1;1;Not Placed
18~19;Female;B.Tech~BCA;ME~Civil;4~6;0;1~3;1~4;6;41~50;3~5;0~1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ME~Civil;4~6;0;1~3;1~4;6;41~50;3~5;0~1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ME~Civil;4~6;0;1~3;1~4;6;41~50;3~5;0~1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ME~Civil;4~6;0;1~3;1~4;6;41~50;3~5;0~1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ME~Civil;4~6;0;1~3;1~4;6;41~50;3~5;0~1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;2~4;6;47~57;3~5;1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;2~4;6;47~57;3~5;1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;2~4;6;47~57;3~5;1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;2~4;6;47~57;3~5;1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;5~6;0;2~3;2~4;6;47~57;3~5;1;0~1;Not Placed
20~21;Female;B.Tech~BCA;Civil;4~6;0;2;1~3;6;45~58;4~5;0~1;0~1;Not Placed
20~21;Female;B.Tech~BCA;Civil;4~6;0;2;1~3;6;45~58;4~5;0~1;0~1;Not Placed
20~21;Female;B.Tech~BCA;Civil;4~6;0;2;1~3;6;45~58;4~5;0~1;0~1;Not Placed
20~21;Female;B.Tech~BCA;Civil;4~6;0;2;1~3;6;45~58;4~5;0~1;0~1;Not Placed
20~21;Female;B.Tech~BCA;Civil;4~6;0;2;1~3;6;45~58;4~5;0~1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;4~6;0;2~3;2~4;6;36~58;6;1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;4~6;0;2~3;2~4;6;36~58;6;1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;4~6;0;2~3;2~4;6;36~58;6;1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;4~6;0;2~3;2~4;6;36~58;6;1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;4~6;0;2~3;2~4;6;36~58;6;1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;4~6;0;2~3;2~4;6;36~58;6;1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;4~6;0;2~3;2~4;6;36~58;6;1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;42~59;6;0~1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;42~59;6;0~1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;42~59;6;0~1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;42~59;6;0~1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;42~59;6;0~1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;42~59;6;0~1;0~1;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;42~59;6;0~1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;1~3;1~4;3~5;43~58;1~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;1~3;1~4;3~5;43~58;1~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;1~3;1~4;3~5;43~58;1~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;1~3;1~4;3~5;43~58;1~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;1~3;1~4;3~5;43~58;1~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;1~3;1~4;3~5;43~58;1~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;1~3;1~4;3~5;43~58;1~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;1~3;1~4;3~5;43~58;1~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;1~3;1~4;3~5;43~58;1~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;3~5;42~58;3~5;1;2;Not Placed
18~19;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;3~5;42~58;3~5;1;2;Not Placed
18~19;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;3~5;42~58;3~5;1;2;Not Placed
18~19;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;3~5;42~58;3~5;1;2;Not Placed
18~19;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;3~5;42~58;3~5;1;2;Not Placed
18~19;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;3~5;42~58;3~5;1;2;Not Placed
18~19;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;3~5;42~58;3~5;1;2;Not Placed
18~19;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;3~5;42~58;3~5;1;2;Not Placed
18~19;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;3~5;42~58;3~5;1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;4~5;0;1~3;1~4;3~5;35~59;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;4~5;0;1~3;1~4;3~5;35~59;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;4~5;0;1~3;1~4;3~5;35~59;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;4~5;0;1~3;1~4;3~5;35~59;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;4~5;0;1~3;1~4;3~5;35~59;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;4~5;0;1~3;1~4;3~5;35~59;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;4~5;0;1~3;1~4;3~5;35~59;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME;4~5;0;1~3;1~4;3~5;35~59;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;2~4;4~5;46~56;2~5;1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;2~4;4~5;46~56;2~5;1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;2~4;4~5;46~56;2~5;1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;2~4;4~5;46~56;2~5;1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;2~4;4~5;46~56;2~5;1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;2~4;4~5;46~56;2~5;1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;2~4;4~5;46~56;2~5;1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;2~4;4~5;46~56;2~5;1;2;Not Placed
19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;1~2;1~3;4~5;35~59;6;0~1;2;Not Placed
19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;1~2;1~3;4~5;35~59;6;0~1;2;Not Placed
19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;1~2;1~3;4~5;35~59;6;0~1;2;Not Placed
19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;1~2;1~3;4~5;35~59;6;0~1;2;Not Placed
19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;1~2;1~3;4~5;35~59;6;0~1;2;Not Placed
20~21;Female;B.Tech;ECE~ME~Civil;4~5;0;2~3;2~4;4~5;39~58;6;0~1;2;Not Placed
20~21;Female;B.Tech;ECE~ME~Civil;4~5;0;2~3;2~4;4~5;39~58;6;0~1;2;Not Placed
20~21;Female;B.Tech;ECE~ME~Civil;4~5;0;2~3;2~4;4~5;39~58;6;0~1;2;Not Placed
20~21;Female;B.Tech;ECE~ME~Civil;4~5;0;2~3;2~4;4~5;39~58;6;0~1;2;Not Placed
20~21;Female;B.Tech;ECE~ME~Civil;4~5;0;2~3;2~4;4~5;39~58;6;0~1;2;Not Placed
20~21;Female;B.Tech;ECE~ME~Civil;4~5;0;2~3;2~4;4~5;39~58;6;0~1;2;Not Placed
18~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2;1~3;3~5;35~59;6;0~1;2;Not Placed
18~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2;1~3;3~5;35~59;6;0~1;2;Not Placed
18~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2;1~3;3~5;35~59;6;0~1;2;Not Placed
18~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2;1~3;3~5;35~59;6;0~1;2;Not Placed
18~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2;1~3;3~5;35~59;6;0~1;2;Not Placed
18~21;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2;1~3;3~5;35~59;6;0~1;2;Not Placed
19~20;Female;B.Tech~BCA;Civil;5~6;0;3;3~4;3~5;41~57;6;1;2;Not Placed
19~20;Female;B.Tech~BCA;Civil;5~6;0;3;3~4;3~5;41~57;6;1;2;Not Placed
19~20;Female;B.Tech~BCA;Civil;5~6;0;3;3~4;3~5;41~57;6;1;2;Not Placed
19~20;Female;B.Tech~BCA;Civil;5~6;0;3;3~4;3~5;41~57;6;1;2;Not Placed
19~20;Female;B.Tech~BCA;Civil;5~6;0;3;3~4;3~5;41~57;6;1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;2~3;2~4;6;35~59;3~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;2~3;2~4;6;35~59;3~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;2~3;2~4;6;35~59;3~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;2~3;2~4;6;35~59;3~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;2~3;2~4;6;35~59;3~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;2~3;2~4;6;35~59;3~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;2~3;2~4;6;35~59;3~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;4~5;0;2~3;2~4;6;35~59;3~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;51~59;4~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;51~59;4~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;51~59;4~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;51~59;4~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;51~59;4~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;51~59;4~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;51~59;4~5;0~1;2;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME~Civil;5~6;0;2~3;1~4;6;51~59;4~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;1~3;1~4;6;35~58;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;1~3;1~4;6;35~58;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;1~3;1~4;6;35~58;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;1~3;1~4;6;35~58;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;1~3;1~4;6;35~58;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;1~3;1~4;6;35~58;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;1~3;1~4;6;35~58;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;1~3;1~4;6;35~58;3~5;0~1;2;Not Placed
20~21;Female;B.Tech~BCA;ECE~ME~Civil;4~6;0;1~3;1~4;6;35~58;3~5;0~1;2;Not Placed
18~21;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;6;35~57;6;1;2;Not Placed
18~21;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;6;35~57;6;1;2;Not Placed
18~21;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;6;35~57;6;1;2;Not Placed
18~21;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;6;35~57;6;1;2;Not Placed
18~21;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;6;35~57;6;1;2;Not Placed
18~21;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;6;35~57;6;1;2;Not Placed
18~21;Female;B.Tech~BCA;ME~Civil;5~6;0;2~3;2~4;6;35~57;6;1;2;Not Placed
18~19;Female;MCA;ECE~ME;4~6;0;1~3;1~4;2~5;37~54;4~5;0~1;1;Not Placed
18~19;Female;MCA;ECE~ME;4~6;0;1~3;1~4;2~5;37~54;4~5;0~1;1;Not Placed
18~19;Female;MCA;ECE~ME;4~6;0;1~3;1~4;2~5;37~54;4~5;0~1;1;Not Placed
18~19;Female;MCA;ECE~ME;4~6;0;1~3;1~4;2~5;37~54;4~5;0~1;1;Not Placed
18~19;Female;MCA;ECE~ME;4~6;0;1~3;1~4;2~5;37~54;4~5;0~1;1;Not Placed
18~19;Female;MCA;ECE~ME;6~6;0;3;3~4;4~5;52~59;4~5;1;0~1;Not Placed
18~19;Female;MCA;ECE~ME;6~6;0;3;3~4;4~5;52~59;4~5;1;0~1;Not Placed
18~19;Female;MCA;ECE~ME;6~6;0;3;3~4;4~5;52~59;4~5;1;0~1;Not Placed
18~19;Female;MCA;ECE~ME;6~6;0;3;3~4;4~5;52~59;4~5;1;0~1;Not Placed
18~19;Female;MCA;ECE~ME;6~6;0;3;3~4;4~5;52~59;4~5;1;0~1;Not Placed
18~19;Female;MCA;Civil;4~6;0;1~3;1~4;3~5;40~59;4~5;0~1;0~1;Not Placed
18~19;Female;MCA;Civil;4~6;0;1~3;1~4;3~5;40~59;4~5;0~1;0~1;Not Placed
18~19;Female;MCA;Civil;4~6;0;1~3;1~4;3~5;40~59;4~5;0~1;0~1;Not Placed
18~19;Female;MCA;Civil;4~6;0;1~3;1~4;3~5;40~59;4~5;0~1;0~1;Not Placed
18~19;Female;MCA;Civil;4~6;0;1~3;1~4;3~5;40~59;4~5;0~1;0~1;Not Placed
18~19;Female;MCA;Civil;4~6;0;1~3;1~4;3~5;40~59;4~5;0~1;0~1;Not Placed
18~19;Female;MCA;Civil;4~6;0;1~3;1~4;3~5;40~59;4~5;0~1;0~1;Not Placed
18~19;Female;MCA;Civil;4~6;0;1~3;1~4;3~5;40~59;4~5;0~1;0~1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;4~6;0;1~3;1~4;3~5;40~58;3~5;0~1;1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;4~6;0;1~3;1~4;3~5;40~58;3~5;0~1;1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;4~6;0;1~3;1~4;3~5;40~58;3~5;0~1;1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;4~6;0;1~3;1~4;3~5;40~58;3~5;0~1;1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;4~6;0;1~3;1~4;3~5;40~58;3~5;0~1;1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;4~6;0;1~3;1~4;3~5;40~58;3~5;0~1;1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;4~6;0;1~3;1~4;3~5;40~58;3~5;0~1;1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;6~6;0;2~3;2~4;4~5;37~57;4~5;1;0~1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;6~6;0;2~3;2~4;4~5;37~57;4~5;1;0~1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;6~6;0;2~3;2~4;4~5;37~57;4~5;1;0~1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;6~6;0;2~3;2~4;4~5;37~57;4~5;1;0~1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;6~6;0;2~3;2~4;4~5;37~57;4~5;1;0~1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;6~6;0;2~3;2~4;4~5;37~57;4~5;1;0~1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;6~6;0;2~3;2~4;4~5;37~57;4~5;1;0~1;Not Placed
20~21;Female;MCA;ECE~ME~Civil;6~6;0;2~3;2~4;4~5;37~57;4~5;1;0~1;Not Placed
18~19;Female;MCA;ECE~ME~Civil;5~5;0;2~3;2~4;4~5;44~56;6;1;1;Not Placed
18~19;Female;MCA;ECE~ME~Civil;5~5;0;2~3;2~4;4~5;44~56;6;1;1;Not Placed
18~19;Female;MCA;ECE~ME~Civil;5~5;0;2~3;2~4;4~5;44~56;6;1;1;Not Placed
18~19;Female;MCA;ECE~ME~Civil;5~5;0;2~3;2~4;4~5;44~56;6;1;1;Not Placed
18~19;Female;MCA;ECE~ME~Civil;5~5;0;2~3;2~4;4~5;44~56;6;1;1;Not Placed
18~19;Female;MCA;ME~Civil;5~6;0;3;3~4;3~5;51~59;6;1;1;Not Placed
18~19;Female;MCA;ME~Civil;5~6;0;3;3~4;3~5;51~59;6;1;1;Not Placed
18~19;Female;MCA;ME~Civil;5~6;0;3;3~4;3~5;51~59;6;1;1;Not Placed
18~19;Female;MCA;ME~Civil;5~6;0;3;3~4;3~5;51~59;6;1;1;Not Placed
18~19;Female;MCA;ME~Civil;5~6;0;3;3~4;3~5;51~59;6;1;1;Not Placed
20~21;Female;MCA;ECE~ME;4~6;0;2~3;3~4;2~5;47~59;6;1;0~1;Not Placed
20~21;Female;MCA;ECE~ME;4~6;0;2~3;3~4;2~5;47~59;6;1;0~1;Not Placed
