Age,Education,Introversion Score,Sensing Score,Thinking Score,Judging Score,Gender_Female,Gender_Male,Interest_Arts,Interest_Others,Interest_Sports,Interest_Technology,Interest_Unknown,Personality
25.0,0,2.61486,2.74926019936459,0.31678,5.07919322089138,0,1,1,0,0,0,0,INFP
24.0,0,6.7229,6.987647195435499,1.52075,6.091187975693684,0,1,0,1,0,0,0,ENFJ
24.0,1,4.84446,4.209471753836521,1.78546,3.2623680175635883,1,0,0,1,0,0,0,ENFP
29.0,1,3.92588,4.042913517996525,8.62344,7.000205691231273,0,1,0,0,0,0,1,INTP
39.0,1,8.74006,4.737346807940984,1.09096,2.3180514699076613,0,1,0,1,0,0,0,ENFP
20.0,0,1.8579,7.277115475542832,8.32314,7.32471197164999,1,0,0,0,0,1,0,INTJ
30.0,0,3.67563,4.661359759462062,9.98146,4.475970343365033,0,1,0,1,0,0,0,INTP
27.0,0,9.7636,4.930084692065357,4.16457,2.9912172696898987,0,1,0,0,1,0,0,ENFP
23.0,1,6.69518,7.773150783040957,2.81202,4.29112099363138,0,1,0,0,0,0,1,ESFP
28.0,0,8.70874,1.951317452034797,0.11728,3.0678851676546057,1,0,0,0,0,0,1,ENFP
27.0,0,9.02568,4.991798033371305,2.9843,4.197855852937703,1,0,0,0,0,0,1,ENFP
25.0,1,3.67993,5.041828908724673,0.60099,4.96146716300855,0,1,1,0,0,0,0,ENFP
22.0,0,6.48659,4.81512671195499,7.45765,6.078383221494798,0,1,0,0,0,0,1,ENTJ
27.0,0,8.34913,5.104999807176371,8.6248,6.148033104530729,1,0,0,0,0,0,1,ENTJ
28.0,1,2.92533,3.1701233673316587,3.09441,3.5623601961618814,0,1,1,0,0,0,0,INFP
47.0,0,5.06147,6.749663399691119,1.80485,4.089199067636608,1,0,0,0,0,0,1,ESFP
23.0,1,2.94468,4.690868359826223,7.73016,4.543081318258146,1,0,0,0,1,0,0,INTP
30.0,1,9.95603,4.743155466945789,5.179,5.310655364901748,1,0,0,0,0,0,1,ENFP
26.0,1,8.43551,4.469702771683799,8.25421,5.150816135632043,1,0,1,0,0,0,0,ENTP
21.0,0,9.78939,5.831074079404994,1.06032,5.161902315008691,0,1,1,0,0,0,0,ENFP
22.0,1,9.38623,3.772852414146227,9.43122,3.383818714332688,1,0,0,0,0,1,0,ENTP
30.0,0,6.13201,1.866041946931332,6.46212,4.358942736843069,0,1,0,1,0,0,0,ENFP
47.0,0,2.6108,2.9416425340995485,3.68599,4.220359202532414,1,0,0,0,0,0,1,INFP
26.0,0,8.10186,4.055699066888238,9.56716,3.933497060827275,0,1,0,1,0,0,0,ENTP
23.0,0,5.1066,5.264303219057681,4.58247,4.188134549855604,1,0,0,0,1,0,0,ENFP
24.0,0,2.92697,5.375598926951864,3.29911,3.4608000473064675,1,0,0,0,1,0,0,ENFP
27.0,0,4.11601,4.664286320524644,0.88407,3.399908389514845,1,0,0,0,0,0,1,ENFP
30.0,1,3.96371,2.989769549129664,0.14533,4.200676416879159,1,0,0,0,0,1,0,ENFP
30.0,0,4.70259,6.750805212370639,2.28233,4.747689225561276,0,1,0,0,0,0,1,ISFP
22.0,1,4.69125,5.567801761393812,9.53545,5.138228276570718,0,1,0,0,0,0,1,INTP
28.0,0,5.22666,5.285037478720888,0.77628,4.71809807388558,0,1,0,0,0,0,1,INFP
27.0,1,8.81932,7.148801882774532,9.8296,4.679394234503942,0,1,0,1,0,0,0,ESTP
26.0,1,4.01227,5.630803205361151,7.14305,4.848719252115677,0,1,0,0,0,0,1,INTP
36.0,1,7.02027,6.146060991907376,9.88683,4.77727041908446,0,1,0,0,0,0,1,ESTP
29.0,0,6.02688,4.377779118564827,5.17199,6.753004056714711,0,1,0,1,0,0,0,ENFJ
25.0,0,5.78328,5.05971319723745,0.24059,4.790964653659929,1,0,1,0,0,0,0,ENFP
23.0,1,6.20355,5.695015307054958,3.63981,5.347447635291177,1,0,0,1,0,0,0,ENFP
24.0,1,2.49094,5.120450905167575,9.11963,7.011489391746663,1,0,0,0,0,1,0,INTP
21.0,0,3.3264,6.124204475563432,8.97433,4.61398320501749,0,1,0,0,0,0,1,INTP
28.0,1,1.42492,3.763637795844605,8.38532,1.775923107860467,1,0,0,0,0,0,1,INTP
20.0,1,2.90106,5.491600038845846,3.48892,5.535939003413191,0,1,0,0,0,0,1,INFP
29.0,0,6.33308,4.228796087451548,3.11205,5.303421224945181,0,1,0,0,0,0,1,ENFP
27.0,0,3.90542,2.9384098684420183,2.54031,3.89890726284323,0,1,0,0,0,1,0,ENFP
22.0,1,7.5553,4.914118729682149,3.70655,5.44354693570758,0,1,0,0,0,0,1,ENFP
22.0,1,1.1485,5.104174692479225,4.9289,4.016751487528209,1,0,1,0,0,0,0,INTP
23.0,0,0.74139,4.505536949567481,9.02382,6.068154345518118,1,0,0,0,1,0,0,INTJ
27.0,0,4.48863,7.004542897267657,7.87407,4.245218585821622,0,1,0,0,0,1,0,ISTP
22.0,1,6.90352,5.6315622544547805,9.74401,6.645654702631671,0,1,0,0,0,1,0,ENTP
25.0,0,7.24826,3.875714149158112,9.26767,5.529817556321429,0,1,1,0,0,0,0,ENTP
34.0,0,4.79883,4.018182115223324,9.71671,3.2407331290702337,0,1,0,0,0,0,1,INTP
24.0,1,9.61329,5.345169968582569,9.57143,2.9671724858209307,0,1,0,0,0,0,1,ENTP
26.0,0,3.85787,2.7728588239795404,1.85235,7.1720832082170745,0,1,0,0,1,0,0,INFJ
25.0,0,6.49196,4.733563361977161,4.04732,2.214823130141487,0,1,0,0,0,1,0,ENFP
20.0,1,8.184,5.03878998339067,8.27629,3.793698293360664,0,1,1,0,0,0,0,ENTP
22.0,0,9.07512,5.922086984513128,2.98314,1.209392437917936,0,1,0,0,0,0,1,ENFP
26.0,1,8.75662,5.54758779227824,8.85726,5.57317726983103,0,1,0,0,1,0,0,ENTP
36.0,0,0.69109,6.537211774904904,3.61818,4.566954099551042,1,0,1,0,0,0,0,ISFP
23.0,0,7.09897,4.809890530524939,2.0655,2.7498513832612743,1,0,0,0,0,1,0,ENFP
27.0,0,4.81752,4.645792994860917,9.45952,7.310467511961701,1,0,0,0,0,1,0,ENTJ
30.0,0,4.59541,4.134060395426127,0.96106,4.634616239998547,0,1,0,0,1,0,0,INFP
24.0,0,4.33123,4.054720174225763,9.23739,5.923990975594289,0,1,0,0,0,0,1,INTP
24.0,1,8.25835,5.3616981318642445,9.06609,5.571615558834905,0,1,0,0,1,0,0,ENTP
30.0,0,6.52718,3.945500075241388,3.61765,6.4976126840042925,1,0,0,0,0,1,0,ENFJ
20.0,0,5.12546,6.759948058422483,1.0033,5.71756829618031,0,1,0,1,0,0,0,ENFP
20.0,0,6.3398,5.329262509474793,6.7222,3.3488113375284065,1,0,0,0,0,0,1,ENTP
31.0,0,9.25454,4.353129954292178,2.08421,3.993645010102419,0,1,0,0,0,0,1,ENFP
18.0,1,1.33374,4.783155561205911,8.41633,2.9459326698913517,1,0,1,0,0,0,0,INTP
28.0,0,9.25882,4.838477372841883,8.58645,4.642147680273999,0,1,1,0,0,0,0,ENTP
32.0,1,4.98386,6.727787193674961,1.8721,4.097316658597807,1,0,0,0,0,1,0,ESFP
24.0,1,1.85721,5.348360477123604,8.39571,3.0627990667509577,0,1,0,0,0,0,1,INTP
25.0,0,4.81068,4.41440891648825,3.79947,4.444945999810562,0,1,0,0,0,0,1,ENFP
21.0,0,8.30066,6.221359958044491,2.45308,3.78315310048074,0,1,0,1,0,0,0,ENFP
23.0,0,7.93864,5.393964100128984,8.93641,3.81057756779796,0,1,0,0,0,1,0,ENTP
29.0,1,8.75537,2.477170173526268,7.00014,5.926819339285541,0,1,1,0,0,0,0,ENTP
25.0,1,6.45611,5.373341616027702,9.23381,6.818237392066126,0,1,1,0,0,0,0,ENTP
35.0,1,0.85148,5.410658599205762,0.36507,6.250353895057414,0,1,0,0,1,0,0,INFP
23.0,0,3.94975,3.715324448541799,8.95716,5.754326507137697,0,1,1,0,0,0,0,INTP
22.0,0,1.66902,5.227066545377539,0.00512,4.273595850915726,0,1,1,0,0,0,0,INFP
23.0,1,5.46551,5.5991009092909465,0.6946,3.860430697914456,1,0,0,0,0,0,1,ENFP
29.0,1,5.33276,4.318268345228878,9.72695,3.976338814667785,1,0,0,0,1,0,0,ENTP
21.0,1,5.58507,5.931606030574429,9.38114,6.02156418939212,1,0,1,0,0,0,0,ENTP
31.0,1,0.78801,6.102747815932111,3.28378,3.405387740973457,0,1,0,0,0,1,0,ISFP
35.0,0,8.59994,4.944804473249389,3.4622,5.626626329831605,1,0,0,1,0,0,0,ENFP
20.0,1,8.67711,5.7038717991085575,6.48588,6.662401435546935,1,0,0,0,0,0,1,ENTP
27.0,1,8.56987,2.1816938726851705,7.83288,5.979806325990074,1,0,0,1,0,0,0,ENTP
32.0,0,1.69321,5.729990561832691,8.02321,4.615976838113247,0,1,0,1,0,0,0,INTP
22.0,0,8.26288,4.702958815497899,1.86774,4.44921042326243,0,1,1,0,0,0,0,ENFP
24.0,0,9.81378,4.941545881701018,7.53466,1.0375188551604555,0,1,0,0,0,0,1,ENTP
20.0,0,9.47975,6.82594838855475,6.56857,2.585310877804221,0,1,0,0,0,0,1,ENTP
31.0,0,3.04666,4.559349557710591,5.51476,5.381918780900231,0,1,1,0,0,0,0,INTP
24.0,0,1.18162,6.806628388045088,8.82819,2.255625824162764,1,0,1,0,0,0,0,ISTP
20.0,1,3.34062,4.97615249500274,2.69699,7.783597232798959,1,0,0,0,0,1,0,ENFP
32.0,0,5.76787,3.0083251034328216,8.25259,5.47800858460438,1,0,0,0,1,0,0,ENTJ
33.0,0,1.24978,6.782725248555632,1.15147,3.021293127137753,0,1,1,0,0,0,0,ISFP
29.0,1,6.10358,2.3169828279826072,9.03753,0.1914773920656713,0,1,0,0,0,1,0,ENTP
25.0,1,6.85826,5.403843282397779,1.74059,5.144699084050255,0,1,0,0,0,0,1,ENFP
25.0,0,3.75144,7.168367942434071,0.91103,4.702092684886422,1,0,0,0,0,1,0,ESFP
24.0,1,2.35047,5.345315971568595,4.18082,2.505527231163572,0,1,1,0,0,0,0,INFP
33.0,0,3.29166,5.487499862977467,3.94861,5.030778488651246,0,1,0,1,0,0,0,INFP
24.0,1,9.46984,6.310358572024218,3.74722,1.1807166770523525,0,1,0,1,0,0,0,ENFP
24.0,1,4.82878,4.135995356632727,2.78915,4.947634087230389,0,1,0,0,1,0,0,ENFP
22.0,0,0.96434,4.684719135360266,7.49428,4.36841648316674,1,0,0,0,0,0,1,INTP
25.0,0,9.48919,5.555174362056779,1.76597,6.002040175201612,0,1,1,0,0,0,0,ENFJ
32.0,0,6.61228,4.279463081766117,1.24773,5.45234731910045,0,1,0,0,0,1,0,ENFP
27.0,1,9.72725,2.458930550286348,8.8892,5.230669825271691,1,0,0,0,0,0,1,ENTP
21.0,0,7.10729,4.638846600489071,0.50247,2.0451098037652056,1,0,1,0,0,0,0,ENFP
30.0,0,7.99996,3.7999839094061647,9.37863,2.7611498731747863,1,0,0,0,1,0,0,ENTP
23.0,0,9.16428,5.872486668641216,8.69718,4.918866312730432,0,1,0,0,0,0,1,ENTP
24.0,0,9.29703,4.479890509335762,6.31892,6.005298983757051,0,1,0,1,0,0,0,ENFJ
26.0,1,6.09378,5.112136573457264,6.66914,4.516989981647196,0,1,1,0,0,0,0,ENTP
28.0,0,7.0274,7.053328919658512,2.33523,2.872456553937188,0,1,0,1,0,0,0,ESFP
26.0,1,9.09553,5.568022859679224,7.95344,4.160947446974738,0,1,0,0,0,0,1,ENTP
19.0,1,3.4082,5.631814960679101,7.93656,4.701198536411341,0,1,0,0,0,1,0,INTP
26.0,1,9.46241,5.104025258832875,7.30435,6.397664759248093,1,0,0,0,0,0,1,ENTP
31.0,0,2.56874,4.433880539306327,3.54847,0.6045648361343217,1,0,0,0,0,1,0,INFP
21.0,0,2.66177,4.068774546378101,5.68962,4.640977716660859,1,0,0,0,0,0,1,ENTP
24.0,1,1.88811,3.9074196800250913,8.0177,6.126929164484212,1,0,1,0,0,0,0,INTP
30.0,0,2.00481,5.196269360701776,6.55672,5.306196530833364,0,1,0,0,1,0,0,INTJ
24.0,0,6.88364,4.581209474645338,5.41283,3.639468963084412,0,1,0,1,0,0,0,ENFP
23.0,1,8.96315,5.976417069638155,4.32085,4.788481782819673,0,1,0,1,0,0,0,ENFP
23.0,0,6.01734,4.589277063729906,6.87211,2.6295768412178457,1,0,0,0,0,0,1,ENTP
28.0,0,0.9382,5.932687717268095,9.10875,5.351542757943417,0,1,0,0,1,0,0,INTJ
24.0,0,1.49917,5.518080115791019,1.40596,3.151219999003855,0,1,0,0,0,1,0,INFP
25.0,1,2.76432,6.42924330427528,1.2722,3.14894933394645,0,1,1,0,0,0,0,ISFP
24.0,0,3.53574,4.550431127967464,4.07106,5.883100909520219,0,1,0,1,0,0,0,INFP
26.0,1,9.86175,5.382027656756653,7.31525,4.633842074698524,1,0,1,0,0,0,0,ENTP
29.0,1,0.26995,4.53033379460315,0.83122,6.850341641063334,0,1,0,0,1,0,0,INFP
27.0,0,4.36062,6.954411549030881,2.87104,3.960926847956024,0,1,1,0,0,0,0,ISFP
30.0,1,9.50487,5.438624113959994,6.7114,5.828526519604623,0,1,0,0,0,0,1,ENTP
24.0,0,7.16144,5.653683950351311,0.91074,5.720633549131865,1,0,0,1,0,0,0,ENFP
27.0,0,0.08683,3.35460930225339,7.69536,5.585193045028878,0,1,0,0,0,0,1,INTP
35.0,0,3.81122,3.9659036276002455,3.0147,2.3608093871769693,0,1,0,0,0,0,1,INFP
21.0,1,9.77428,6.092752976642645,9.47584,4.04654244810096,1,0,0,0,0,0,1,ENTP
21.0,0,5.85118,3.2318383755348776,0.26795,3.4169318667734623,1,0,0,0,0,0,1,ENFP
30.0,1,0.25381,4.824161679579714,6.22281,4.9898846617195645,1,0,1,0,0,0,0,INTP
26.0,1,3.34183,5.302004944801744,4.11222,4.989291891135638,1,0,0,0,1,0,0,INFP
36.0,1,6.39014,4.931003496151689,1.09206,3.546053728009066,1,0,0,0,0,1,0,ENFP
35.0,1,7.39416,4.744287514502868,2.17893,7.0023390244108175,1,0,0,0,0,0,1,ENFP
24.0,1,8.17175,4.5432469314500885,2.08314,5.8669727197319865,0,1,1,0,0,0,0,ENFP
30.0,1,2.29466,3.640958476305885,7.41463,5.203289391872101,1,0,0,0,0,0,1,INTP
29.0,0,8.77615,5.63125097354073,7.92755,4.674695488008574,0,1,0,0,0,0,1,ENTP
24.0,0,7.75465,7.093280300191687,9.95058,4.2032626342049255,0,1,0,0,0,0,1,ENTP
23.0,1,8.44439,8.057957997256885,0.73233,5.49739842549648,0,1,0,0,1,0,0,ENFP
34.0,0,4.54294,5.864370735294856,0.98676,5.046402003197805,0,1,0,0,0,0,1,ENFP
24.0,0,4.3518,4.8575564406485015,1.31395,3.0571900512434484,0,1,0,1,0,0,0,ENFP
29.0,0,3.91512,5.269964671343729,9.34633,5.835051152442789,0,1,0,0,0,0,1,INTP
21.0,1,6.57832,5.346074714356185,7.96737,5.205103710132012,0,1,0,0,0,0,1,ENTP
27.0,0,8.27992,6.093603845649019,5.70832,2.624186687780369,0,1,0,0,0,0,1,ENFP
32.0,0,0.17824,5.499619114749838,7.31777,5.940538383074943,1,0,0,0,0,0,1,INTP
39.0,1,0.4559,3.382767183103772,1.37761,6.209419510143513,1,0,0,0,1,0,0,INFP
26.0,1,9.92489,6.334622736229969,8.11322,6.2405755529941445,0,1,0,0,0,0,1,ENTP
34.0,0,8.8694,5.997843261626993,8.5019,4.687397069823094,1,0,0,0,0,1,0,ENTP
21.0,0,0.05876,5.584973424992588,9.5826,7.3324068726945235,0,1,0,0,0,0,1,INTJ
34.0,0,1.29894,6.204752647497585,8.38307,5.223050222067757,0,1,0,0,0,0,1,ISTP
22.0,0,6.06564,5.183755124724962,7.45749,3.488801342580002,0,1,0,0,1,0,0,ENTP
29.0,1,0.03741,3.1776950128175554,3.88491,5.524466684128305,0,1,0,0,0,1,0,INFP
27.0,0,7.0123,5.865188615428334,8.71824,5.715420607014817,0,1,0,1,0,0,0,ENTP
22.0,1,8.85996,4.224183128953417,7.60427,6.101234626133185,0,1,0,0,0,0,1,ENTP
23.0,0,8.04656,3.054720718386692,3.08696,4.579867138651149,1,0,0,1,0,0,0,ENFP
27.0,0,5.04596,5.6815424091254405,3.70191,7.443914642895392,0,1,1,0,0,0,0,ENFJ
32.0,1,8.36584,2.874298569266549,3.33408,2.417203504802102,0,1,0,1,0,0,0,ENFP
26.0,0,7.27848,6.47401949996378,8.6002,4.290888225933173,0,1,0,0,0,0,1,ESTP
26.0,0,8.82165,5.1974279990294825,3.54875,4.575387096039636,0,1,0,0,0,1,0,ENFP
19.0,0,5.56669,6.073690888225657,2.08347,4.493126061220304,1,0,1,0,0,0,0,ENFP
29.0,0,9.54319,7.481142396816569,4.69491,4.497901785781782,0,1,1,0,0,0,0,ESFP
25.0,0,1.99498,6.28904006114804,1.2331,5.026972909855534,0,1,0,0,0,0,1,ISFP
37.0,0,9.5988,5.070206782302221,3.48205,4.417123167539083,1,0,0,0,0,0,1,ENFP
20.0,1,4.16325,7.9050426652832355,4.94957,5.8839478291890455,0,1,0,0,0,0,1,INFP
23.0,1,7.81921,5.136091803116106,6.17913,4.423714009698031,0,1,0,1,0,0,0,ENFP
25.0,1,6.61134,4.5974648925345045,6.99191,3.821729139474165,1,0,0,0,1,0,0,ENTP
20.0,0,3.27173,4.886455979042568,2.01816,5.137820051282735,0,1,0,0,0,0,1,INFP
25.0,1,8.35671,5.955564406961701,1.95275,5.144467267023122,0,1,0,0,0,1,0,ENFP
22.0,0,9.74246,3.88029145730349,0.88286,7.233670078936136,0,1,0,0,0,1,0,ENFJ
33.0,0,0.33454,6.0841391085948064,6.79474,7.062681448198985,1,0,0,0,0,0,1,INTJ
21.0,1,7.68292,6.542000897251239,1.9337,6.470958383318797,0,1,0,0,0,1,0,ENFP
35.0,1,8.97272,4.34289730637628,0.23461,6.318471753790078,1,0,1,0,0,0,0,ENFP
30.0,1,1.67378,4.431287447272061,8.7884,5.562868877875846,1,0,0,1,0,0,0,INTP
21.0,0,3.55347,4.355978424533166,8.40096,6.923703438215251,0,1,0,0,0,1,0,INTJ
28.0,1,5.43646,4.980506257389615,8.79091,4.791764923097999,1,0,0,0,0,0,1,ENTP
26.0,0,7.23388,7.041879537322389,4.0934,4.779956248671946,1,0,0,0,0,0,1,ESFP
25.0,0,0.95947,4.840703847602303,5.69551,5.601901452812955,0,1,0,0,0,0,1,INFP
20.0,0,4.79137,5.5713643474916985,9.59616,5.160136739756272,0,1,0,0,0,0,1,ENTP
25.0,0,3.99069,0.0,6.44913,3.974688855781133,1,0,0,0,0,1,0,ENTP
25.0,0,2.95427,3.968715690935439,9.82213,5.160056337244327,0,1,0,0,0,0,1,INTP
20.0,1,1.34602,5.129628607147373,1.82688,6.761551760320928,1,0,0,0,1,0,0,INFP
31.0,0,3.69673,7.330920089057428,3.9653,5.832250239012929,0,1,0,0,0,0,1,ESFP
31.0,0,3.12584,4.974137764056571,3.83006,5.380368220848479,1,0,0,0,0,0,1,INFP
27.0,0,3.68075,5.102805914653614,1.57324,2.015686834737737,0,1,1,0,0,0,0,ENFP
21.0,0,2.69212,5.825930049649077,1.55037,6.340611795798494,1,0,1,0,0,0,0,INFJ
22.0,0,7.50284,4.26703191890588,9.46708,4.262467433878852,0,1,1,0,0,0,0,ENTP
32.0,1,0.02906,4.412614850641241,2.77495,3.275374411338693,0,1,0,0,0,0,1,INFP
27.0,1,7.01765,4.185307731718338,3.00008,5.574738038284469,1,0,1,0,0,0,0,ENFP
28.0,0,5.03178,6.481539584872839,9.40549,1.837548812850456,0,1,0,0,0,0,1,ISTP
26.0,1,3.58461,4.7286891009108105,3.56728,3.3167842955335525,1,0,0,0,0,1,0,ENFP
25.0,1,8.53455,5.453776011216817,9.37527,5.707205055863059,1,0,0,0,0,0,1,ENTP
23.0,0,5.10787,4.91365465307724,1.43054,5.250224995652392,1,0,1,0,0,0,0,ENFP
21.0,1,5.39407,6.270118304535792,2.868,5.033807472929613,0,1,0,1,0,0,0,ENFP
23.0,0,8.36351,3.074107246409853,2.26456,5.07460875002209,1,0,0,1,0,0,0,ENFP
31.0,0,4.31437,5.034895560215456,4.86697,3.8124554440277394,0,1,1,0,0,0,0,INFP
26.0,0,8.80353,6.307948998922544,7.00214,6.135852753024848,1,0,0,1,0,0,0,ENTJ
21.0,0,3.44567,5.155993022327538,4.56573,4.5681254697076,0,1,0,0,0,0,1,INFP
21.0,0,0.00255,4.614032662165422,4.05532,6.502365008502623,1,0,0,0,1,0,0,INFJ
30.0,1,0.38778,5.250867728277779,8.45397,3.829010967039696,1,0,1,0,0,0,0,INTP
21.0,0,1.93386,5.28618767668208,3.73781,0.3993551440297542,0,1,0,1,0,0,0,INFP
28.0,0,6.29257,5.355957885645196,3.34833,4.936483212652036,1,0,0,0,0,0,1,ENFP
28.0,0,7.33741,3.672723389018602,2.37854,4.803263576190645,1,0,0,0,0,0,1,ENFP
29.0,0,6.65395,5.663407903053259,3.57913,3.870391618775576,0,1,0,0,0,0,1,ENFP
32.0,0,8.68452,6.417202852834111,3.86326,5.75284396538369,0,1,0,0,1,0,0,ESFJ
22.0,0,7.06294,5.529682741713726,9.10415,4.2350436806237255,0,1,0,0,0,0,1,ENTP
32.0,0,7.51419,4.912249802873896,8.59589,5.191579746379624,1,0,0,0,0,0,1,ENTP
25.0,1,3.90375,6.500931511916948,1.37825,6.173363484654072,0,1,1,0,0,0,0,ISFP
37.0,0,6.25036,5.136342308929801,4.8031,5.333889145163797,1,0,0,1,0,0,0,ENFP
28.0,0,6.97653,4.544040638495035,2.58952,5.218836428100746,0,1,0,0,0,0,1,ENFP
27.0,1,3.15046,6.2961907208735175,0.74235,4.28894040665411,1,0,0,1,0,0,0,ISFP
26.0,0,8.75992,3.764302415730232,0.97658,5.795347659780425,0,1,0,0,0,0,1,ENFP
24.0,0,4.01981,4.330600516585979,2.27509,7.170138866493329,0,1,0,1,0,0,0,INFJ
23.0,0,0.46618,5.211156226098018,9.40045,5.217125870401995,0,1,0,1,0,0,0,INTP
25.0,1,3.86105,4.309508486474067,5.40626,1.1048412880189904,1,0,0,0,0,0,1,ENFP
